Owner,,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Cambrex,Takeda,Takeda,Takeda,Nalas,Nalas,Nalas,Nalas,Nalas,Nalas
Tag,,R-3156,R-3156 Mod,R-5103,R-B01,R-B02,R-C01,R-101,R-102,R-301,R-302,R-801,R-802,1.6 L Buchi,Optimax 1 L,EasyMax 102 HP,EasyMax 102,1 L MB06,1 L MP10,2 L,5 L HP20,20 L
Location,,Charles City,Charles City,Charles City,High Point,High Point,High Point,High Point,High Point,High Point,High Point,High Point,High Point,"Cambridge, 650 EK",TSHO,"Cambridge, 650 EK","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT","Centerbrooke, CT"
Manufacturer,,,,Pfaudler,De Dietrich,,De Dietrich,De Dietrich,Tolan,De Dietrich,De Dietrich,De Dietrich,De Dietrich,Buchi,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Mettler Toledo,Buchi
Model,,,,,,,Optimix,CTJ-32-100,,,,,Optimix,Type 1B,Optimax,EasyMax 102,EasyMax 102,RC1mx MP06,RC1mx MP10,RC1mx HP60,HP20,Type 3
Volume (nominal),L,4542,4542,757,2165,,1136,549,546,840,840,840,971,1.6,,0.1,0.1,1,1,2,5,20
Volume max,L,,,,1892,,1322,429,439,,,,757,1.0,1.0,0.1,0.1,,,,4,21.7
Volume min,L,,,,378,,378,38,20,,,,189,0.1,,0.03,0.03,,,,1.3,2
Scale,,Commercial,Commercial,Commercial,Commercial,Commercial,Commercial,Pilot,Pilot,Commercial,Commercial,Commercial,Commercial,Pilot,,Lab,Lab,Lab,Lab,Pilot,Pilot,Kilo
Internal diameter (ID),mm,1371.6,1371.6,1016,1218,1350,1218,813,812.8,972,972,972,972,82,,52,52,,,,148,276
Straight wall height (tan-tan) ,mm,3048,3048,901.7,1775,1803,832,794.2,781.05,1072,1072,1072,1072,285,,88,88,,,,238,308.7
Max height,mm,3391,3391,1156,2080,2141,1140,998,967,1583,1583,1583,1259,285,,88,88,0,0,0,265,406
Aspect ratio (H/D),m/m,2.5,2.5,1.1,1.7,1.6,0.94,1.23,1.19,1.63,1.63,1.63,1.30,3.48,,1.68,1.68,#DIV/0!,#DIV/0!,#DIV/0!,1.8,1.5
Top dish type,-,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,Dished,,Torispherical,Torispherical,,,,,DIN Torispherical
Bottom dish type,-,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,2:1 Elliptical,Conical,Conical,Conical,2:1 Elliptical,,,,,,,,,
Bottom dish height ,mm,342.9,342.9,254,304.5,337.5,308,204,186,511,511,511,187,,,,,,,,27,97
Top dish height,mm,,,,,,308,203,,,,,187,,,,,,,,,
Shaft length ,mm,3660.6,3660.6,,,,,,,,,,,,,,,,,,254,
Shaft diameter ,mm,76.2,76.2,,,50.8,89,64,,,,,,10,,,,,,,9.8,16
Shaft rotation,-,CW,CW,,CW,CW,CW,,,ACW,ACW,ACW,CW,CW,,CW,CW,,,,CW,
Impeller count,#,3,3,,2,2,,2,3,2,2,2,2,1,,1,1,,,,1,1
